Distance[fm];Reid;Hard;Fine;ReidRepel*0.55;ReidAttrac;Fbufallo
2.1;-1826.55;-0;-1325.08;70.9899;-1955.62;-1254.09
2.125;-1700.52;-0;-1235.86;62.0016;-1813.25;-1173.85
2.15;-1583.65;-0;-1155.67;54.1601;-1682.12;-1101.51
2.175;-1475.27;-0;-1083.45;47.3178;-1561.3;-1036.14
2.2;-1374.76;-0;-1018.24;41.3463;-1449.93;-976.898
2.225;-1281.54;-0;-959.191;36.1338;-1347.24;-923.057
2.25;-1195.09;-0;-905.538;31.5831;-1252.52;-873.955
2.275;-1114.9;-0;-856.617;27.6095;-1165.1;-829.007
2.3;-1040.52;-0;-811.838;24.1391;-1084.41;-787.699
2.325;-971.513;-0;-770.686;21.1079;-1009.89;-749.578
2.35;-907.484;-0;-732.71;18.4597;-941.047;-714.25
2.375;-848.065;-0;-697.517;16.1459;-877.421;-681.371
2.4;-792.915;-0;-664.767;14.124;-818.594;-650.643
2.425;-741.717;-0;-634.168;12.3567;-764.183;-621.812
2.45;-694.178;-0;-605.469;10.812;-713.837;-594.657
2.475;-650.028;-0;-578.455;9.46143;-667.231;-568.994
2.5;-609.015;-0;-552.944;8.28056;-624.071;-544.663
2.525;-570.907;-0;-528.779;7.24791;-584.085;-521.531
2.55;-535.488;-0;-505.831;6.34475;-547.024;-499.487
2.575;-502.56;-0;-483.99;5.55474;-512.659;-478.435
2.6;-471.937;-0;-463.162;4.86362;-480.78;-458.298
2.625;-443.45;-0;-443.269;4.25894;-451.194;-439.01
2.65;-416.942;-0;-424.245;3.72982;-423.723;-420.515
2.675;-392.265;-0;-406.034;3.26677;-398.205;-402.767
2.7;-369.286;-0;-388.587;2.86149;-374.489;-385.726
2.725;-347.88;-0;-371.865;2.50674;-352.438;-369.358
2.75;-327.932;-0;-355.83;2.19617;-331.925;-353.634
2.775;-309.334;-0;-340.451;1.92426;-312.832;-338.527
2.8;-291.988;-0;-325.699;1.68618;-295.054;-324.013
2.825;-275.803;-0;-311.549;1.47768;-278.49;-310.071
2.85;-260.695;-0;-297.976;1.29508;-263.05;-296.681
2.875;-246.586;-0;-284.959;1.13514;-248.649;-283.824
2.9;-233.402;-0;-272.475;0.995039;-235.211;-271.48
2.925;-221.079;-0;-260.506;0.872302;-222.665;-259.634
2.95;-209.553;-0;-249.032;0.764768;-210.944;-248.267
2.975;-198.768;-0;-238.035;0.670544;-199.987;-237.364
3;-188.671;-0;-227.496;0.587976;-189.74;-226.908
3.025;-179.213;-0;-217.398;0.515615;-180.151;-216.882
3.05;-170.349;-0;-207.725;0.452194;-171.171;-207.273
3.075;-162.037;-0;-198.459;0.396604;-162.758;-198.063
3.1;-154.237;-0;-189.586;0.347874;-154.87;-189.238
3.125;-146.915;-0;-181.089;0.305153;-147.47;-180.784
3.15;-140.037;-0;-172.953;0.267698;-140.523;-172.685
3.175;-133.572;-0;-165.164;0.234856;-133.999;-164.929
3.2;-127.491;-0;-157.707;0.206058;-127.866;-157.501
3.225;-121.769;-0;-150.568;0.180804;-122.098;-150.387
3.25;-116.381;-0;-143.735;0.158655;-116.669;-143.576
3.275;-111.303;-0;-137.193;0.139229;-111.556;-137.054
3.3;-106.516;-0;-130.932;0.122189;-106.738;-130.81
3.325;-101.999;-0;-124.938;0.107242;-102.194;-124.831
3.35;-97.7347;-0;-119.2;0.0941286;-97.9058;-119.106
3.375;-93.7061;-0;-113.708;0.0826241;-93.8563;-113.625
3.4;-89.8977;-0;-108.45;0.0725301;-90.0296;-108.377
3.425;-86.295;-0;-103.416;0.0636731;-86.4108;-103.352
3.45;-82.8847;-0;-98.5964;0.055901;-82.9863;-98.5405
3.475;-79.6542;-0;-93.9819;0.0490804;-79.7435;-93.9328
3.5;-76.5921;-0;-89.5635;0.0430945;-76.6705;-89.5204
3.525;-73.6877;-0;-85.3325;0.0378407;-73.7565;-85.2947
3.55;-70.9308;-0;-81.2809;0.0332294;-70.9913;-81.2477
3.575;-68.3124;-0;-77.4008;0.0291815;-68.3655;-77.3717
3.6;-65.8237;-0;-73.6848;0.0256282;-65.8703;-73.6592
